ky	kx	wcc_0	wcc_1
0.225	0.55	-0.32122479850304875	0.3607972690595193
0.225	0.5750000000000001	-0.32114635957758353	0.3623056688817343
0.225	0.6000000000000001	-0.3210718758994889	0.3637725574279601
0.225	0.625	-0.32100323654418056	0.3651543530966624
0.225	0.65	-0.32094223502599356	0.3664066702441566
0.225	0.675	-0.32089051005196156	0.36748651300180973
0.225	0.7000000000000001	-0.3208494858001818	0.36835471132628966
0.225	0.7250000000000001	-0.32082031541930306	0.36897837676408096
0.225	0.75	-0.3208038319946979	0.36933312205320196
0.225	0.775	-0.32080051122710723	0.3694047929056667
0.225	0.8	-0.3208104493898648	0.3691905048616798
0.225	0.8250000000000001	-0.3208333588022028	0.36869885735691477
0.225	0.8500000000000001	-0.32086858128996004	0.3679492982761943
0.225	0.875	-0.3209151182439373	0.366970718006904
0.225	0.9	-0.320971674302214	0.36579944415468646
0.225	0.925	-0.32103671066308365	0.3644768711855867
0.225	0.9500000000000001	-0.3211085037029861	0.36304698382640666
0.225	0.9750000000000001	-0.32118520487263874	0.36155401763128986
0.225	1.0	-0.32126489858621005	0.3600404514114427
0.25	0.0	-0.328305218965304	0.40052646542545206
0.25	0.025	-0.32833758355115966	0.3987111011467215
0.25	0.05	-0.3283687089324438	0.3969827457647359
0.25	0.07500000000000001	-0.32839793688533847	0.39537642118132654
0.25	0.1	-0.3284246738299461	0.39392193529327957
0.25	0.125	-0.3284483958142638	0.3926439675618996
0.25	0.15000000000000002	-0.32846865197176517	0.3915623699033084
0.25	0.17500000000000002	-0.3284850669567336	0.39069259374573984
0.25	0.2	-0.32849734269384984	0.39004616142527077
0.25	0.225	-0.3285052596427546	0.38963111297584274
0.25	0.25	-0.3285086776827531	0.3894523746455931
0.25	0.275	-0.3285075366643178	0.3895120109763207
0.25	0.30000000000000004	-0.32850185664380005	0.38980933694185915
0.25	0.325	-0.32849173780527235	0.3903408802974516
0.25	0.35000000000000003	-0.3284773600683985	0.3911001974066086
0.25	0.375	-0.3284589823737303	0.3920775591144925
0.25	0.4	-0.32843694161678316	0.3932595373676197
0.25	0.42500000000000004	-0.32841165115913196	0.39462853843247714
0.25	0.45	-0.32838359876861156	0.396162344156769
0.25	0.47500000000000003	-0.3283533437248565	0.39783373713639925
0.25	0.5	-0.32832151267269705	0.3996102962016351
0.25	0.525	-0.3282887936307956	0.4014544517964338
0.25	0.55	-0.32825592740301546	0.4033238829480937
0.25	0.5750000000000001	-0.3282236955532468	0.40517231594750897
0.25	0.6000000000000001	-0.3281929041628112	0.40695074919316415
0.25	0.625	-0.32816436286122586	0.40860908176784777
0.25	0.65	-0.3281388591431615	0.4100980714811595
0.25	0.675	-0.3281171287336199	0.41137149988768945
0.25	0.7000000000000001	-0.32809982363766194	0.41238838588679866
0.25	0.7250000000000001	-0.3280874803345626	0.41311507231191513
0.25	0.75	-0.32808049113513715	0.41352701378698853
0.25	0.775	-0.3280790818237743	0.41361011723189
0.25	0.8	-0.3280832982511751	0.41336152406391063
0.25	0.8250000000000001	-0.32809300356363447	0.4127897699003247
0.25	0.8500000000000001	-0.32810788642495164	0.4119143087225108
0.25	0.875	-0.328127479181915	0.4107644404237571
0.25	0.9	-0.328151183739763	0.40937773012899303
0.25	0.925	-0.3281783021826839	0.4077980505456065
0.25	0.9500000000000001	-0.328208069003013	0.4060734096709388
0.25	0.9750000000000001	-0.3282396821534327	0.40425374012114296
0.25	1.0	-0.3282723308546242	0.4023888196651422
0.275	0.0	-0.3347783501715841	0.43560159633960793
0.275	0.025	-0.3347675423008062	0.43365370387363905
0.275	0.05	-0.33475681119331	0.43178262599123496
0.275	0.07500000000000001	-0.3347464443694351	0.4300290015675974
